state,district,college_name
Gujarat,Surendranagar,SHRI D.V.RAVAL ARTS & COMM. COLLEGE-HALVAD
Gujarat,Bharuch,Mahamandleshwar Shri Krishnanandji College of Commerce
Karnataka,Raichur,"SRI K VIRUPAKSHAPPA DEGREE COLLEGE, TURVIHAL, SINDHANOOR"
Gujarat,Patan,"JASHODABA POLYTECHNIC INSTITUTE , SIDHPUR"
Maharashtra,Latur,"GOVINDLAL KANHAIYALAL JOSHI (NIGHT) COLLEGE, LATUR"
Gujarat,Mehsana,MERCHANT COLLEGE OF MANAGEMENT & RESEARCH
Gujarat,Kutch,"GOVERNMENT ARTS AND COMMERCE COLLEGE, RAPAR"
Gujarat,Bhavnagar,SHREE SWAMINARAYAN ARTS COLLEGE
Gujarat,Bhavnagar,"SWAMI SAHAJANANAD COLLEGE OF INFORMATION TECHNOLOGY, MEGA CITY"
Gujarat,Patan,"SHREE B D S ARTS, SCIENCE AND COMMERCE COLLEGE"
Karnataka,Belagavi,SHRI SIDDALINGESHWAR B.C.A COLLEGE GOKAK
Gujarat,Bhavnagar,Smt. Jamanabahen Bhuta Arts College
Gujarat,Tapi,"Government Arts & Commerce College, Songadh"
Gujarat,Kheda,M. D. Shah Commerce & B. D. Patel Arts College
Gujarat,Rajkot,GRAM SARVAJANIK EDUCATION TRUST B.ED.COLLEGE-AMRAPUR (JASDAN)
Gujarat,Bhavnagar,Smt. V.P. Kapadia Mahila Arts College
Gujarat,Valsad,"Laxmi Institute of Computer Applications (MCA) (SFI), Sarigam Valsad"
Gujarat,Bhavnagar,SHREE SWAMINARAYAN COMMERCE COLLEGE
Gujarat,Sabarkantha,GOVERNMENT BED COLLEGE
Gujarat,Patan,JETHIBA K. PATEL ARTS COLLEGE & B.A. PATEL & D. B. VYAS COMMERCE COLLEGE
Maharashtra,Jalgaon,Arunodaya Shikshan Prasarak Mandal's
Gujarat,Bharuch,IQRA B. C. A. College
Maharashtra,Latur,"Abhinav College of Education, Latur"
Gujarat,Kutch,"VEERAYATAN INSTITUTE OF PHARMACY, JAKHANIA"
Maharashtra,Buldana,"Kadriya College of Education, Buldhana"
Gujarat,Patan,SHRI R J PATEL COLLEGE OF EDUCATION
Gujarat,Mehsana,UTTAR PURVA GUJARAT UCHCH KELAVANI MANDAL BED COLL
Gujarat,Bhavnagar,Swami Vivekanand Homeopathic Medical College and Hospital
Haryana,Yamunanagar,"M.L.N. College, Radaur"
Gujarat,Rajkot,"RADHE INSTITUTE OF ENGINEERING AND TECHNOLOGY, UPLETA-970"
Gujarat,Sabarkantha,D D THAKAR ARTS & K J PATEL COMMERCE COLLEGE
Karnataka,Vijayapura,Shri Padmaraj Vidyavardhak Society's Sarangamath BSW college for women Sindagi
Gujarat,Rajkot,"GOVERNMENT ARTS COLLEGE, KOTDASANGANI"
Gujarat,Valsad,Shah Khimchandbhai Muljibhai Law College
Gujarat,Ahmedabad,G. L. S. Institute of Commerce
Karnataka,Davanagere,"B.S. Channabasappa First Grade college, Davangere"
Gujarat,Bhavnagar,Shree V.M. Sakaria Mahila Arts College
Gujarat,Anand,"Institute of Language Studies and Applied Social Sciences, (ILSASS), Vallabh Vidyanagar"
Punjab,Mansa,"Guru Nanak College of Education, Bhikhi, Mansa"
Gujarat,Surat,"JAYVANTRAI HARRAI DESAI POLYTECHNIC,Â PALSANA"
Uttar Pradesh,Agra,"SMT. BHUDEVI MAHAVIDYALAYA SHASTRI PURAM, AGRA"
Gujarat,Bhavnagar,Smt. L.L. Kakadia B.Ed. College
Gujarat,Ahmedabad,K. K. Shah Jarodwala Maninagar Science College
West Bengal,North 24 Parganas,Techno India (MBA)
West Bengal,North 24 Parganas,TECHNO INDIA (Stand alone MCA)
Gujarat,Patan,NORTH GUJRAT EDUCATION TRUST SANCHALIT PGDCA COLL
West Bengal,North 24 Parganas,Techno India
Gujarat,Bhavnagar,Smt. K.B. Parekh B.C.A. College
Gujarat,Rajkot,"Christ Polytechnic Institute, Rajkot"
Gujarat,Anand,"Shri D N Institute of Computer Applications, Anand"
Karnataka,Bengaluru Urban,"Bangalore City College of Education, No.160, Cellakere Main Road, Kalyananagar, Bangalore 43."
Maharashtra,Mumbai,"Malti Vasant Trust s KDA B.Sc. Nursing College, Andheri (W), Mumbai"
Telangana,Hyderabad,NARAYANA Degree College
Gujarat,Surat,"The Mandvi Education Society Institute of Business Management and Computer Studies,Mandvi,(812)Di-Surat(SFI)"
Gujarat,Tapi,C. N. Kothari Homeopathic Medical College & Research Centre
Gujarat,Surat,THE MANDVI EDUCATION SOCIETY INSTITUTE OF COMPUTER STUDIES (563)
Gujarat,Ahmedabad,National Institute of Mass Communication and Journalism
Telangana,Adilabad,"Vivekavardhini Degree College, Near Bus Stand, Mancherial"
Gujarat,Kheda,"GOVERNMENT ARTS AND COMMERCE COLLEGE, KATHLAL"
Telangana,Rangareddy,PRRM College of Pharmacy
Gujarat,Mehsana,SMT. SHANTAGAURI RASIKLAL SHAH(RANGWALA) COLLEGE OF PHYSIOTHERAPY
West Bengal,Barddhaman,Aryabhatta Institute of Engineering and Management Durgapur
West Bengal,Barddhaman,Aryabhatta Institute of Engg. and Management
Gujarat,Ahmedabad,"INSTITUTE OF ARCHITECTURE, NIRMA UNIVERSITY"
Gujarat,Sabarkantha,GROW MORE INSTITUTE OF SCIENCE
Maharashtra,Sindhudurg,"KHAREPATAN PANCHROSHI SHIKSHAN PRASARAK MANDALÃ¢Â€Â™S ARTS AND COMMERCE COLLEGE, SINDHUDURG"
Telangana,Rangareddy,SRI NARAYANA DEGREE COLLEGE
Gujarat,Anand,"Shantaben Manubhai Patel Institute Architecture and Interior Design, Vallabh Vidyanagar"
West Bengal,Hugli,Techno India Kolkata
Telangana,Hyderabad,"NARAYANA DEGREE COLLEGE, GADDIANNARAM"
Gujarat,Ahmedabad,"ASIA PACIFIC INSTITUTE OF HOTEL MANAGEMENT, AHMEDABAD"
Gujarat,Sabarkantha,SAMARTH VIVIVDHLAXI BED COLLEGE
Gujarat,Bharuch,Narmada College of Computer Application(NCCA)(SFI)-Bharuch
Gujarat,Anand,"Christian College of Education, Anand"
Gujarat,Surat,S. R. Luthra Institute of Management (SFI) Second Shift -SURAT.
Maharashtra,Dhule,"200004-SSVPS'S BAPUSAHEB SHIVAJIRAO DEORE COLLEGE OF ENGINEERING, DHULE."
Gujarat,Ahmedabad,"Institute of Science, Nirma University"
Gujarat,Amreli,KAMANI SCIENCE & PRATAPRAI ARTS COLLEGE-AMRELI
Gujarat,Bhavnagar,Shree J.C. Kumarappa Mahavidyalaya
Maharashtra,Solapur,SKN SINHAGAD COLLEG OF ENGINEERING KORTI TAL PANDHARPUR DIST-SOLAPUR
Telangana,Hyderabad,Institute of Computers and Business Management
Gujarat,Rajkot,PANCHSHIL COLLEGE OF EDUCATION (B.ED.)-RAJKOT
Gujarat,Bhavnagar,Shree J.C. Kumarappa B.S.W. College
Gujarat,Vadodara,Shree Mahalaxmiji Mahila Homeopathic Mediacal College
Maharashtra,Mumbai Suburban,New Heritage Education Trust Opp. Mansi Complex Near Silver Coin Restaurant Behind Shanti Ashram Bus Depot Eksar I.C.Colony Borivali (W) Mumbai 400
Gujarat,Anand,Sant Stifan Institute of Business Management and Technology
Gujarat,Bhavnagar,Shree Swami Sahajanand College of Commerce and Management
Gujarat,Rajkot,"GOVERNMENT ENGINEERING COLLEGE, RAJKOT"
Gujarat,Porbandar,"GOVERNMENT ARTS COLLEGE, RANAVAV"
Gujarat,Panch Mahals,Shri Sarvajanik College of Education
Karnataka,Bengaluru Urban,"Hasnath Evening College, No.52, Stations Road, Prazer Town, Bangalore-5"
Maharashtra,Amravati,"Arts college,Wadhona Ramnath,Tq: Nangaon (Kh.). Distt:- Amravati"
Gujarat,Navsari,"Government Science College, Chikhli"
Gujarat,Surat,S. R. Luthra Institute of Management (SFI)-First shift-SURAT.750
Gujarat,Amreli,"GAYATRI GURUKRUPA B.ED. COLLEGE, LATHI"
Maharashtra,Ahmadnagar,"Rayat Shikshan Sansthas Swami Sahajanand Bharati College of Education, Shrirampur, Dist. Ahmednagar 413709"
Maharashtra,Satara,"Venutai Chavan College, Vidyanagar, KARAD"
Maharashtra,Raigarh,Mangaon Taluka Education Societys Doshi Vakil Arts College and Goregaon Nagari Sahakari Bank Science & Commerce College At Goregaon Tal Mangaon Dist Raigad 402
Gujarat,Gandhinagar,Uma Arts & Nathiba Commerce Mahila College
Gujarat,Rajkot,N.H.RADADIYA ARTS & COMMERCE COLLEGE-JAMKANDORANA
Gujarat,Surat,The Mandvi Education Society B. C. A. College
Maharashtra,Mumbai,Smt. C.B. Shah Mahila Mahavidyalaya
Gujarat,Rajkot,"SHREE K.O. SHAH MUNI. ARTS & COMMERCE COLLEGE, DHORAJI"
Gujarat,Surat,The Mandvi Education Society B. B. A. College
Gujarat,Bhavnagar,Swami Vivekanand College of Computer Science
Gujarat,Surendranagar,Smt. Sadguna C.U.Shah Home Science and C.U.Shah Arts & Commerce Mahila College
Gujarat,Bhavnagar,L.R.Valia Arts and P.R.Mehta Commerce College
Gujarat,Rajkot,SARDAR PATEL KANYA KELVNI MANDAL B.ED.COLLEGE- JAMKANDORANA
Gujarat,Bharuch,Jay Jalaram Talimi Snatak Mahavidyalaya
Maharashtra,Nashik,"Mahatama Gandhi Vidyamandirs Arts,Science & Commerce College, Manmad, Dist.Nashik 423401"
Karnataka,Bengaluru Urban,"The Regency College of Education, No.51/1, AMS Layout, Vidyaranyapura,Bangalore-560 097."
Gujarat,Surendranagar,M.P. SHAH COMMERCE COLLEGE -SURENDRANAGAR
Gujarat,Surat,The Mandvi Education Society Science College
Gujarat,Sabarkantha,T M SHAH MAHILA ARTS COLLEGE IDAR
Gujarat,Sabarkantha,M. M. CHAUDHARI ARTS COLLEGE RAJENDRANAGAR
Maharashtra,Raigarh,Vidya Mandir Mandals Matoshree Sumati Chintamani Tipnis College of Arts & Commerce At Mamdapuir Neral Tal Karjat Dist Raigad 410
Gujarat,Panch Mahals,M. M. Gandhi Arts & Commerce College
Gujarat,Bhavnagar,SHRI UMIYA MAHILA ARTS AND COMMERCE COLLEGE
Gujarat,Bhavnagar,Kavishri Botadkar Arts and Commerce College
Telangana,Hyderabad,Mahila Dakshata Samithi Degree College for Women
Gujarat,Surendranagar,"PARANGAT B.ED. COLLEGE, HALVAD"
Gujarat,Bhavnagar,SHRI V M SAKARIYA MAHILA COMMERCE COLLEGE
Telangana,Hyderabad,Vahini Degree College
Gujarat,Sabarkantha,"EKTA TRUST SANCHALIT BCA COLLEGE, NAVIMETRAL"
Karnataka,Gadag,"Govt., First Grade College, Gadag"
Karnataka,Ramanagara,"DR H L THIMMEGOWDA COLLEGE OF PHARMACY, RAMANAGARA"
Gujarat,Mehsana,SMT A S CHAUDHRAY ARTS & HOME SCIENCE COLLEGE
Punjab,Amritsar,Punjab Institute of Technology
Gujarat,Vadodara,Sigma Institute of Physiotherapy
Gujarat,Vadodara,Mahila Mahavidyalaya
Karnataka,Bengaluru Urban,"Presidency College, No.33-2C, 33-2D, Kempapuara Hebbal, Bangalore-24"
