state,district,college_name
Arunachal Pradesh,Papum Pare,Rajiv Gandhi University
Assam,Cachar,Assam University
Assam,,Tezpur University
Telangana,Hyderabad,University of Hyderabad
Telangana,Hyderabad,Maulana Azad National Urdu University
Telangana,Hyderabad,English & Foreign Languages University
Delhi,Delhi,Jamia Millia Islamia
Delhi,Delhi,University of Delhi
Delhi,Delhi,Jawaharlal Nehru University
Delhi,Delhi,Indira Gandhi National Open University
Madhya Pradesh,,The Indira Gandhi National Tribal University
Maharashtra,Mumbai City,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya
Mizoram,,Mizoram University
Meghalaya,East Khasi Hills,North Eastern Hill University
Manipur,Imphal West,Manipur University
Manipur,Imphal West,Central Agricultural University
Puducherry,,Pondicherry University
Sikkim,East Sikkim,Sikkim University
Tripura,West Tripura,Tripura University
Uttar Pradesh,,Aligarh Muslim University
Uttar Pradesh,Lucknow,Babasaheb Bhimrao Ambedkar University
Uttar Pradesh,Varanasi,Banaras Hindu University
Uttar Pradesh,Prayagraj,University of Allahabad
West Bengal,,Visva Bharati
Uttarakhand,Srinagar,Hemwati Nandan Bahuguna Garhwal University
Tamil Nadu,,Central university of Tamil Nadu
Tamil Nadu,Chennai,Indian Maritime University
Rajasthan,,Central University of Rajasthan
Punjab,,Central University of Punjab
Odisha,,Central University of Orissa
Madhya Pradesh,,Dr. Harisingh Gour Vishwavidyalaya
Kerala,,Central University of Kerala
Karnataka,Kalaburagi,Central University of Karnataka
Jharkhand,Ranchi,Central University of Jharkhand
Jammu and Kashmir,Srinagar,Central University of Kashmir
Jammu and Kashmir,Jammu,Central University of Jammu
Himachal Pradesh,,Central University of Himachal Pradesh
Haryana,,Central University of Haryana
Chhattisgarh,,Guru Ghasidas Vishwavidyalaya
Bihar,Patna,Central University of South Bihar
Gujarat,,Central University of Gujarat
Andhra Pradesh,,Gandhi Institute of Technology and Management (GITAM)
Telangana,Hyderabad,International Institute of Information Technology
Andhra Pradesh,,Koneru Lakshmaiah Education Foundation
Andhra Pradesh,,Rashtriya Sanskrit Vidyapeeth
Andhra Pradesh,,Sri Sathya Sai Institute of Higher Learning
Andhra Pradesh,Hyderabad,ICFAI Foundation for Higher Education
Andhra Pradesh,,Vignan's Foundation for Science Technology and Research
Arunachal Pradesh,Papum Pare,North Eastern Regional Institute of Science & Technology
Bihar,,Nava Nalanda Mahavihara
Chandigarh,Chandigarh,Punjab Engineering College
Delhi,Delhi,Indian Agricultural Research Institute
Delhi,Delhi,Indain Institute of Foreigen Trade
Delhi,Delhi,Indian Law Institute
Delhi,Delhi,Institute of liver and Biliary Sciences
Delhi,Delhi,Jamia Hamdard
Delhi,Delhi,National Museum Institute of History of Arts Conservation and Musicology
Haryana,,National Institute of Food Technology Entrepreneurship & Management (NIFTEM)
Delhi,Delhi,National University of Educational Planning & Administration
Delhi,Delhi,Rashtriya Sanskrit Sansthana
Delhi,Delhi,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith
Delhi,Delhi,TERI School of Advanced studies
Gujarat,Ahmedabad,Gujarat Vidyapith
Gujarat,Vadodara,Sumandeep Vidyapeeth
Haryana,,Maharishi Markandeshwar (Deemed to be University)
Haryana,,Lingaya's Vidyapeeth
Haryana,,National Brain Research Centre
Haryana,,National Dairy Research Institute
Haryana,,Manav Rachna International Institute of Research and Studies
Jharkhand,Ranchi,Birla Institute of Technology
Karnataka,,B.L.D.E
Karnataka,Bengaluru Urban,Christ University
